
映像名称                       PID 会话名              会话#       内存使用 
SecurityHealthSystray.exe    13164 Console                    1      9,488 K
SecurityHealthService.exe    12676 Services                   0     15,140 K
HipsTray.exe                 12432 Console                    1     22,744 K
EpicGamesLauncher.exe        13492 Console                    1     41,788 K
yundetectservice.exe         14248 Console                    1     10,908 K
ShellExperienceHost.exe      15696 Console                    1     49,172 K
EpicWebHelper.exe            14128 Console                    1     14,580 K
YoudaoDict.exe               16468 Console                    1    167,360 K
EpicWebHelper.exe            17324 Console                    1     26,140 K
YoudaoDictHelper.exe         12916 Console                    1     13,876 K
YoudaoDictHelper.exe         15620 Console                    1     20,188 K
YoudaoDictHelper.exe         14872 Console                    1     39,564 K
YoudaoDictHelper.exe         16464 Console                    1     19,636 K
Snipaste.exe                 16744 Console                    1     44,884 K
RuntimeBroker.exe            18020 Console                    1     29,868 K
YoudaoWSH.exe                18240 Console                    1      4,520 K
YoudaoDictHelper.exe         18332 Console                    1     34,980 K
AdobeNotificationClient.e     1960 Console                    1      5,864 K
RuntimeBroker.exe             5600 Console                    1     13,076 K
svchost.exe                  17108 Services                   0      9,732 K
svchost.exe                   2244 Services                   0      5,492 K
ApplicationFrameHost.exe     10872 Console                    1     34,424 K
Calculator.exe                6184 Console                    1      1,372 K
RuntimeBroker.exe            17588 Console                    1      5,980 K
svchost.exe                   1100 Console                    1     19,488 K
SgrmBroker.exe               14016 Services                   0      8,672 K
svchost.exe                  15296 Services                   0     12,460 K
svchost.exe                  17476 Services                   0      9,764 K
svchost.exe                   7728 Services                   0     11,512 K
svchost.exe                   1616 Services                   0     13,232 K
dllhost.exe                   5012 Console                    1     13,772 K
svchost.exe                   5132 Services                   0      6,972 K
svchost.exe                   6176 Services                   0      9,824 K
dasHost.exe                   1500 Services                   0     10,768 K
svchost.exe                  18152 Services                   0      7,924 K
Clash for Windows.exe        15856 Console                    1     57,928 K
Clash for Windows.exe        17448 Console                    1     33,016 K
Clash for Windows.exe         7700 Console                    1     25,144 K
Clash for Windows.exe        14724 Console                    1    118,296 K
clash-win64.exe               4336 Console                    1     25,368 K
conhost.exe                  15304 Console                    1      5,188 K
Code.exe                      9152 Console                    1     80,664 K
Code.exe                     11564 Console                    1     26,628 K
Code.exe                     10864 Console                    1     90,236 K
Code.exe                      7896 Console                    1     23,804 K
Code.exe                      9424 Console                    1    279,084 K
Code.exe                      6628 Console                    1     94,056 K
Code.exe                     17192 Console                    1     34,804 K
UserOOBEBroker.exe           19096 Console                    1      9,624 K
Video.UI.exe                 17096 Console                    1      1,160 K
RuntimeBroker.exe             4052 Console                    1      7,664 K
svchost.exe                  17472 Services                   0     18,388 K
wlanext.exe                  21048 Services                   0      5,904 K
conhost.exe                  21068 Services                   0      5,144 K
LockApp.exe                   7916 Console                    1     40,952 K
RuntimeBroker.exe            22880 Console                    1     36,476 K
svchost.exe                   5760 Services                   0      7,456 K
svchost.exe                  21008 Services                   0     14,164 K
svchost.exe                  25828 Services                   0     10,116 K
WXWork.exe                   25064 Console                    1    110,432 K
WXWorkWeb.exe                20496 Console                    1     45,892 K
WXWorkWeb.exe                19740 Console                    1    131,620 K
WXWorkWeb.exe                18720 Console                    1     11,448 K
WXWorkWeb.exe                 4108 Console                    1     27,276 K
WXDrive.exe                   2436 Console                    1     45,900 K
FlutterPlugins.exe           12660 Console                    1     26,764 K
WXWorkWeb.exe                20692 Console                    1     64,104 K
Code.exe                     25564 Console                    1    210,104 K
Code.exe                     24928 Console                    1    166,988 K
Code.exe                       360 Console                    1     65,244 K
cpptools.exe                 19844 Console                    1     23,924 K
conhost.exe                  20040 Console                    1      6,264 K
cpptools.exe                 12792 Console                    1      4,584 K
svchost.exe                  20828 Services                   0      6,004 K
taskhostw.exe                25232 Console                    1     21,996 K
WXWorkWeb.exe                18632 Console                    1     69,160 K
WXWorkWeb.exe                20996 Console                    1     23,988 K
Code.exe                     27488 Console                    1     77,556 K
Code.exe                     21996 Console                    1    239,172 K
Code.exe                      7404 Console                    1     82,540 K
cpptools.exe                 27816 Console                    1    543,624 K
conhost.exe                   7628 Console                    1      6,316 K
cpptools.exe                  4064 Console                    1      7,736 K
conhost.exe                  15892 Console                    1      7,148 K
powershell.exe               28124 Console                    1     59,188 K
Code.exe                     26580 Console                    1     78,144 K
Code.exe                     12292 Console                    1    228,612 K
Code.exe                     15552 Console                    1    192,000 K
Code.exe                     10840 Console                    1     79,568 K
cpptools.exe                 13236 Console                    1     19,020 K
conhost.exe                  15056 Console                    1      6,268 K
cpptools.exe                 21348 Console                    1      7,784 K
Code.exe                     27704 Console                    1     78,728 K
cpptools-srv.exe              4692 Console                    1     14,632 K
conhost.exe                  17604 Console                    1      6,268 K
SystemSettings.exe           23060 Console                    1      2,496 K
cpptools-srv.exe             18624 Console                    1    165,696 K
conhost.exe                  21136 Console                    1      6,308 K
chrome.exe                    6936 Console                    1    179,516 K
chrome.exe                   12740 Console                    1      7,928 K
chrome.exe                    8044 Console                    1    153,636 K
chrome.exe                   15460 Console                    1     34,536 K
chrome.exe                   20752 Console                    1     18,488 K
chrome.exe                   21216 Console                    1     87,644 K
chrome.exe                   20900 Console                    1     44,012 K
chrome.exe                   21864 Console                    1     51,324 K
chrome.exe                   20412 Console                    1    124,940 K
chrome.exe                    5484 Console                    1    181,672 K
cpptools-srv.exe              1792 Console                    1     59,284 K
conhost.exe                  19896 Console                    1      6,272 K
svchost.exe                   7500 Services                   0     11,112 K
HipsDaemon.exe                8292 Services                   0    115,028 K
usysdiag.exe                 24780 Services                   0      2,524 K
chrome.exe                   14176 Console                    1    136,508 K
chrome.exe                   21772 Console                    1    116,436 K
chrome.exe                   22516 Console                    1    117,348 K
chrome.exe                   15920 Console                    1    117,620 K
audiodg.exe                   5684 Services                   0     14,096 K
chrome.exe                   15804 Console                    1     32,188 K
svchost.exe                  14368 Services                   0      7,292 K
cpptools-srv.exe              7312 Console                    1    599,920 K
conhost.exe                  25400 Console                    1     11,828 K
taskhostw.exe                 4224 Console                    1     21,612 K
SearchProtocolHost.exe        6064 Console                    1      9,096 K
SearchFilterHost.exe         24736 Services                   0      8,180 K
smartscreen.exe               3440 Console                    1     25,580 K
UE4Editor.exe                16680 Console                    1    953,600 K
CrashReportClientEditor.e    29308 Console                    1     37,572 K
UE4Editor.exe                23568 Console                    1    847,900 K
CrashReportClientEditor.e    28780 Console                    1     37,592 K
conhost.exe                  13348 Console                    1     16,520 K
cmd.exe                      24744 Console                    1      5,196 K
conhost.exe                  10820 Console                    1     17,904 K
node.exe                     12812 Console                    1     37,560 K
mlcrs.exe                    28448 Console                    1     35,804 K
dllhost.exe                  20520 Console                    1     11,256 K
cmd.exe                      27904 Console                    1      5,292 K
conhost.exe                  19964 Console                    1     17,900 K
WmiPrvSE.exe                 16092 Services                   0     12,716 K
tasklist.exe                 23044 Console                    1      9,264 K
