
映像名称                       PID 会话名              会话#       内存使用 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      1,424 K
Registry                       268 Services                   0     42,612 K
smss.exe                       684 Services                   0        584 K
csrss.exe                      852 Services                   0      5,944 K
wininit.exe                    948 Services                   0      4,868 K
csrss.exe                      956 Console                    1      8,104 K
services.exe                  1020 Services                   0     10,120 K
lsass.exe                      180 Services                   0     18,724 K
svchost.exe                   1056 Services                   0     31,188 K
fontdrvhost.exe               1084 Services                   0      2,012 K
svchost.exe                   1144 Services                   0     17,828 K
svchost.exe                   1192 Services                   0     10,136 K
winlogon.exe                  1252 Console                    1      9,924 K
fontdrvhost.exe               1312 Console                    1     11,284 K
dwm.exe                       1392 Console                    1     84,520 K
svchost.exe                   1436 Services                   0     13,248 K
svchost.exe                   1540 Services                   0     10,424 K
svchost.exe                   1556 Services                   0      6,108 K
svchost.exe                   1548 Services                   0     10,076 K
svchost.exe                   1708 Services                   0     16,744 K
svchost.exe                   1756 Services                   0     14,900 K
svchost.exe                   1860 Services                   0     13,096 K
svchost.exe                   1868 Services                   0     10,052 K
svchost.exe                   1876 Services                   0     11,420 K
svchost.exe                   1948 Services                   0      6,372 K
svchost.exe                   1016 Services                   0      9,036 K
svchost.exe                   1164 Services                   0      7,276 K
svchost.exe                   1304 Services                   0      4,932 K
svchost.exe                   1380 Services                   0      5,288 K
svchost.exe                   2152 Services                   0      6,532 K
svchost.exe                   2160 Services                   0     10,276 K
svchost.exe                   2248 Services                   0     11,732 K
svchost.exe                   2392 Services                   0      6,016 K
svchost.exe                   2452 Services                   0      9,840 K
svchost.exe                   2724 Services                   0      5,472 K
svchost.exe                   2768 Services                   0      8,180 K
svchost.exe                   2832 Services                   0      6,092 K
svchost.exe                   2904 Services                   0      6,428 K
svchost.exe                   3016 Services                   0      7,604 K
svchost.exe                   2328 Services                   0     17,364 K
svchost.exe                   3096 Services                   0      6,800 K
NVDisplay.Container.exe       3184 Services                   0     14,836 K
svchost.exe                   3240 Services                   0      8,092 K
AsusCertService.exe           3304 Services                   0      8,988 K
WmiPrvSE.exe                  3352 Services                   0      9,720 K
svchost.exe                   3392 Services                   0     13,796 K
svchost.exe                   3400 Services                   0      4,608 K
svchost.exe                   3408 Services                   0      8,920 K
svchost.exe                   3492 Services                   0      8,180 K
svchost.exe                   3500 Services                   0      6,384 K
Memory Compression            3508 Services                   0    806,900 K
NVDisplay.Container.exe       3832 Console                    1     48,868 K
wsctrlsvc.exe                 4232 Services                   0      7,580 K
svchost.exe                   4448 Services                   0     15,912 K
svchost.exe                   4484 Services                   0     15,344 K
atkexComSvc.exe               4664 Services                   0      7,660 K
svchost.exe                   5080 Services                   0      7,456 K
sihost.exe                    4264 Console                    1     32,680 K
svchost.exe                   4780 Console                    1     21,460 K
svchost.exe                   4372 Console                    1      7,508 K
svchost.exe                   4364 Console                    1     39,824 K
ArmourySocketServer.exe       5144 Console                    1      2,616 K
AcPowerNotification.exe       5180 Console                    1      5,436 K
svchost.exe                   5200 Services                   0     15,312 K
taskhostw.exe                 5264 Console                    1     20,392 K
svchost.exe                   5536 Services                   0     18,444 K
svchost.exe                   5572 Services                   0      8,268 K
explorer.exe                  5580 Console                    1    192,036 K
ctfmon.exe                    5632 Console                    1     46,628 K
svchost.exe                   5772 Services                   0     13,780 K
rundll32.exe                  6004 Console                    1      9,244 K
svchost.exe                   6156 Services                   0      8,148 K
svchost.exe                   6404 Services                   0      8,168 K
svchost.exe                   6496 Services                   0      7,144 K
SearchIndexer.exe             6528 Services                   0     43,932 K
svchost.exe                   6568 Services                   0      9,028 K
svchost.exe                   6660 Console                    1     19,296 K
svchost.exe                   6796 Services                   0      9,836 K
svchost.exe                   6804 Services                   0      7,480 K
svchost.exe                   6952 Services                   0     19,288 K
spoolsv.exe                   7100 Services                   0     10,376 K
svchost.exe                   6888 Services                   0     16,036 K
svchost.exe                   7412 Services                   0     14,292 K
QQProtect.exe                 7432 Services                   0     17,800 K
svchost.exe                   7440 Services                   0     31,696 K
svchost.exe                   7460 Services                   0      6,812 K
